,SquareFeet,Bedrooms,Bathrooms,Neighborhood,YearBuilt,Price,encoded category
0,2126,4,1,Rural,1969,215355.28361820136,0
1,2459,3,2,Rural,1980,195014.22162584803,0
2,1860,2,1,Suburb,1970,306891.0120763329,1
3,2294,2,1,Urban,1996,206786.78715332696,2
4,2130,5,2,Suburb,2001,272436.239065061,1
5,2095,2,3,Suburb,2020,198208.80390657103,1
6,2724,2,1,Suburb,1993,343429.3191099182,1
7,2044,4,3,Rural,1957,184992.321268412,0
8,2638,4,3,Urban,1959,377998.58815204125,2
9,1121,5,2,Urban,2004,95961.92601406392,2
10,1466,5,3,Suburb,1951,191113.7686788604,1
11,2238,3,3,Suburb,1987,253358.64500167352,1
12,1330,2,2,Suburb,1992,132172.3926169813,1
13,2482,4,3,Suburb,1989,231157.02767588635,1
14,1087,4,1,Urban,1976,118393.82316264397,2
15,2396,2,2,Suburb,1993,267377.3996858498,1
16,2123,5,2,Rural,1956,190773.14856300573,0
17,1871,4,2,Suburb,1977,172989.80490101498,1
18,2687,5,1,Urban,1979,239222.6677969504,2
19,1130,4,3,Rural,1962,143050.20178240183,0
20,2685,4,3,Urban,1999,405523.82831733953,2
21,2332,3,3,Rural,1978,263954.1540627713,0
22,1769,4,1,Suburb,1963,148310.62016790514,1
23,1343,2,3,Rural,2013,151733.92248999208,0
24,2515,2,3,Urban,2013,307961.1073823952,2
25,2437,2,1,Rural,2004,276162.86180465267,0
26,1805,5,1,Rural,2002,243985.2054715822,0
27,1385,4,3,Rural,1996,88030.54185271678,0
28,2215,5,1,Urban,1952,282908.98169371625,2
29,1955,3,1,Rural,2014,240976.55176671065,0
30,1276,4,1,Rural,1965,104747.33458904953,0
31,2184,2,2,Suburb,1959,347207.38956128363,1
32,1459,3,2,Rural,2006,77493.9314389322,0
33,2337,3,3,Suburb,2008,331851.0816694101,1
34,1021,4,3,Rural,2013,110408.67080143408,0
35,1252,2,1,Urban,1993,127932.75677961828,2
36,1747,5,3,Rural,1982,228683.2269961876,0
37,1856,4,2,Rural,1959,124711.70785494654,0
38,2584,2,3,Suburb,2001,415850.77083678055,1
39,1474,3,3,Urban,1959,184819.96119001516,2
40,2082,4,2,Suburb,1966,164855.98777549056,1
41,1510,3,2,Suburb,2002,156928.01471681413,1
42,2705,2,1,Urban,1971,282457.8613741379,2
43,2499,5,1,Urban,2021,287591.6728221959,2
44,1699,5,1,Rural,1960,156313.5941951282,0
45,1975,3,3,Suburb,2016,279764.3710402287,1
46,2806,3,3,Suburb,1962,366494.48060208897,1
47,1189,3,3,Urban,2007,244539.2816890332,2
48,1957,4,2,Rural,1994,239299.9944944986,0
49,1686,2,3,Urban,1994,249148.34468610145,2
50,1957,3,2,Rural,1992,304197.5798399542,0
51,1562,3,3,Rural,2013,89378.55062087673,0
52,2899,3,3,Rural,1988,427295.4046033164,0
53,2590,5,2,Suburb,1957,328501.8015463275,1
54,2267,3,2,Urban,1989,215867.4189845816,2
55,1831,2,2,Rural,2000,190058.8928999779,0
56,2528,5,1,Urban,1969,259751.15444635935,2
57,2154,2,1,Rural,2015,166810.3886512713,0
58,2508,5,3,Suburb,2007,352932.1624639027,1
59,2842,5,3,Urban,2014,422042.91851435706,2
60,1646,4,3,Suburb,1994,91423.61964633202,1
61,1020,5,1,Rural,1983,220053.8603574218,0
62,1840,5,3,Suburb,1961,216148.20845399628,1
63,1166,2,2,Suburb,1972,161587.15372788318,1
64,2297,2,2,Urban,2017,194967.9094711132,2
65,1387,3,1,Rural,2002,152828.720291152,0
66,1600,4,2,Rural,2002,256725.9809436184,0
67,1315,5,2,Suburb,1989,98039.30310069738,1
68,1013,4,3,Urban,2002,164858.18694892063,2
69,1241,3,2,Urban,1985,199373.18209909197,2
70,1776,4,2,Urban,2014,181245.4467436535,2
71,2369,5,1,Suburb,1963,209700.7184829428,1
72,1564,2,2,Rural,1983,163053.3920501942,0
73,1897,4,2,Rural,1975,304004.68986597785,0
74,2363,5,3,Urban,2004,308830.9396512381,2
75,1091,3,3,Urban,2012,194294.00184175,2
76,2390,5,3,Urban,2019,172777.3198326151,2
77,1955,4,1,Suburb,1995,197656.07026552537,1
78,2478,5,3,Urban,1986,273365.49912049377,2
79,2451,5,2,Rural,1972,216047.21814963987,0
80,1508,4,1,Urban,1965,149586.15312931265,2
81,1775,4,2,Suburb,1981,214171.08224172727,1
82,2966,3,2,Rural,1956,277419.0001600792,0
83,1034,5,3,Rural,1993,117295.37520060757,0
84,1205,2,1,Urban,1996,180760.867453112,2
85,2104,4,1,Suburb,1954,202715.1601476104,1
86,2955,5,3,Rural,2012,378403.5710107572,0
87,2585,2,1,Suburb,1961,257776.0924243205,1
88,2895,2,2,Suburb,2021,266046.87792908505,1
89,2411,5,1,Rural,1958,337645.67623531295,0
90,2025,5,2,Rural,1993,240145.9702539115,0
91,2021,5,1,Suburb,1971,92641.62211021264,1
92,2413,2,1,Urban,1995,152037.88283583574,2
93,1565,5,3,Rural,1957,149848.61640852437,0
94,2129,4,3,Urban,2005,220384.43445019663,2
95,2795,2,1,Rural,1977,305658.56385268376,0
96,2845,4,2,Urban,1996,318297.25657762005,2
97,2500,4,3,Rural,1984,230749.27633657065,0
98,1702,5,3,Urban,1970,201925.84088885225,2
99,1401,4,3,Suburb,1982,149576.68114338422,1
100,1729,5,1,Rural,2019,171877.06629783398,0
101,2579,2,2,Urban,1997,245276.73391788083,2
102,1161,4,2,Suburb,2003,288571.1271841178,1
103,1201,5,1,Urban,1951,87804.5603712397,2
104,2981,3,2,Rural,1982,267127.0106286388,0
