,SquareFeet,Bedrooms,Bathrooms,YearBuilt,Price,Neighborhood_Rural,Neighborhood_Suburb,Neighborhood_Urban
0,2126,4,1,1969,215355,1,0,0
1,2459,3,2,1980,195014,1,0,0
2,1860,2,1,1970,306891,0,1,0
3,2294,2,1,1996,206786,0,0,1
4,2130,5,2,2001,272436,0,1,0
5,2095,2,3,2020,198208,0,1,0
6,2724,2,1,1993,343429,0,1,0
7,2044,4,3,1957,184992,1,0,0
8,2638,4,3,1959,377998,0,0,1
9,1121,5,2,2004,95961,0,0,1
10,1466,5,3,1951,191113,0,1,0
11,2238,3,3,1987,253358,0,1,0
12,1330,2,2,1992,132172,0,1,0
13,2482,4,3,1989,231157,0,1,0
14,1087,4,1,1976,118393,0,0,1
15,2396,2,2,1993,267377,0,1,0
16,2123,5,2,1956,190773,1,0,0
17,1871,4,2,1977,172989,0,1,0
18,2687,5,1,1979,239222,0,0,1
19,1130,4,3,1962,143050,1,0,0
20,2685,4,3,1999,405523,0,0,1
21,2332,3,3,1978,263954,1,0,0
22,1769,4,1,1963,148310,0,1,0
23,1343,2,3,2013,151733,1,0,0
24,2515,2,3,2013,307961,0,0,1
25,2437,2,1,2004,276162,1,0,0
26,1805,5,1,2002,243985,1,0,0
27,1385,4,3,1996,88030,1,0,0
28,2215,5,1,1952,282908,0,0,1
29,1955,3,1,2014,240976,1,0,0
30,1276,4,1,1965,104747,1,0,0
31,2184,2,2,1959,347207,0,1,0
32,1459,3,2,2006,77493,1,0,0
33,2337,3,3,2008,331851,0,1,0
34,1021,4,3,2013,110408,1,0,0
35,1252,2,1,1993,127932,0,0,1
36,1747,5,3,1982,228683,1,0,0
37,1856,4,2,1959,124711,1,0,0
38,2584,2,3,2001,415850,0,1,0
39,1474,3,3,1959,184819,0,0,1
40,2082,4,2,1966,164855,0,1,0
41,1510,3,2,2002,156928,0,1,0
42,2705,2,1,1971,282457,0,0,1
43,2499,5,1,2021,287591,0,0,1
44,1699,5,1,1960,156313,1,0,0
45,1975,3,3,2016,279764,0,1,0
46,2806,3,3,1962,366494,0,1,0
47,1189,3,3,2007,244539,0,0,1
48,1957,4,2,1994,239299,1,0,0
49,1686,2,3,1994,249148,0,0,1
50,1957,3,2,1992,304197,1,0,0
51,1562,3,3,2013,89378,1,0,0
52,2899,3,3,1988,427295,1,0,0
53,2590,5,2,1957,328501,0,1,0
54,2267,3,2,1989,215867,0,0,1
55,1831,2,2,2000,190058,1,0,0
56,2528,5,1,1969,259751,0,0,1
57,2154,2,1,2015,166810,1,0,0
58,2508,5,3,2007,352932,0,1,0
59,2842,5,3,2014,422042,0,0,1
60,1646,4,3,1994,91423,0,1,0
61,1020,5,1,1983,220053,1,0,0
62,1840,5,3,1961,216148,0,1,0
63,1166,2,2,1972,161587,0,1,0
64,2297,2,2,2017,194967,0,0,1
65,1387,3,1,2002,152828,1,0,0
66,1600,4,2,2002,256725,1,0,0
67,1315,5,2,1989,98039,0,1,0
68,1013,4,3,2002,164858,0,0,1
69,1241,3,2,1985,199373,0,0,1
70,1776,4,2,2014,181245,0,0,1
71,2369,5,1,1963,209700,0,1,0
72,1564,2,2,1983,163053,1,0,0
73,1897,4,2,1975,304004,1,0,0
74,2363,5,3,2004,308830,0,0,1
75,1091,3,3,2012,194294,0,0,1
76,2390,5,3,2019,172777,0,0,1
77,1955,4,1,1995,197656,0,1,0
78,2478,5,3,1986,273365,0,0,1
79,2451,5,2,1972,216047,1,0,0
80,1508,4,1,1965,149586,0,0,1
81,1775,4,2,1981,214171,0,1,0
82,2966,3,2,1956,277419,1,0,0
83,1034,5,3,1993,117295,1,0,0
84,1205,2,1,1996,180760,0,0,1
85,2104,4,1,1954,202715,0,1,0
86,2955,5,3,2012,378403,1,0,0
87,2585,2,1,1961,257776,0,1,0
88,2895,2,2,2021,266046,0,1,0
89,2411,5,1,1958,337645,1,0,0
90,2025,5,2,1993,240145,1,0,0
91,2021,5,1,1971,92641,0,1,0
92,2413,2,1,1995,152037,0,0,1
93,1565,5,3,1957,149848,1,0,0
94,2129,4,3,2005,220384,0,0,1
95,2795,2,1,1977,305658,1,0,0
96,2845,4,2,1996,318297,0,0,1
97,2500,4,3,1984,230749,1,0,0
98,1702,5,3,1970,201925,0,0,1
99,1401,4,3,1982,149576,0,1,0
100,1729,5,1,2019,171877,1,0,0
101,2579,2,2,1997,245276,0,0,1
102,1161,4,2,2003,288571,0,1,0
103,1201,5,1,1951,87804,0,0,1
104,2981,3,2,1982,267127,1,0,0
105,1995,5,3,1965,221217,0,1,0
106,1269,3,2,1999,218784,0,1,0
107,2886,5,3,1969,315607,1,0,0
108,1815,3,3,2016,217967,0,0,1
109,2294,4,1,1994,353343,1,0,0
110,1455,3,3,1984,187002,0,0,1
111,2485,4,2,1978,222855,1,0,0
112,2750,4,2,1994,366548,1,0,0
113,2275,5,2,1964,259473,1,0,0
114,2016,4,2,1952,212440,0,0,1
115,2725,2,2,2018,237066,0,0,1
116,1295,3,3,1983,158357,0,0,1
117,2748,5,1,2020,255619,0,1,0
118,1719,4,1,1953,190659,0,1,0
119,2772,3,2,1968,284985,0,0,1
120,1337,3,3,1970,214741,0,0,1
121,1878,2,1,1964,128693,0,1,0
122,2076,3,2,1966,184051,1,0,0
123,1791,5,3,2003,242865,1,0,0
124,2945,5,1,1986,295356,0,0,1
125,1216,4,3,2003,107868,1,0,0
126,1763,4,2,1971,207380,0,0,1
127,1187,5,3,1957,132828,0,1,0
128,1379,3,1,1960,84493,0,0,1
129,1492,3,1,2019,53360,0,1,0
130,2064,2,3,1958,296199,1,0,0
131,2180,4,1,1951,273924,0,0,1
132,1014,3,3,1981,204340,0,0,1
133,2836,3,3,2000,228582,0,0,1
134,1064,4,2,1986,237384,0,1,0
135,2880,5,2,1955,312245,1,0,0
136,2862,3,3,1961,219408,0,0,1
137,1520,2,1,2003,201334,1,0,0
138,2367,3,2,1995,221413,0,1,0
139,2152,3,1,1982,306839,1,0,0
140,1647,2,3,1967,126756,0,0,1
141,2495,5,1,1987,328702,0,0,1
142,2086,2,1,2008,141074,0,1,0
143,2162,2,3,1956,220712,1,0,0
144,2522,4,2,1964,319176,0,0,1
145,1592,3,2,1950,245299,0,1,0
146,1391,5,1,1995,51154,1,0,0
147,2698,3,3,1981,314018,0,0,1
148,1418,5,3,1998,222904,0,1,0
149,1288,2,2,1959,115697,0,1,0
150,1378,4,3,1966,140714,0,1,0
151,2796,2,3,1969,178353,0,1,0
152,2513,3,1,2000,280022,0,1,0
153,1230,4,1,1971,136418,1,0,0
154,2017,4,2,1969,195803,0,0,1
155,1040,3,2,2014,98933,1,0,0
156,2051,5,1,1953,185052,0,1,0
157,1134,4,3,2003,160764,0,0,1
158,1200,5,3,2014,156394,0,1,0
159,2863,5,1,2000,333464,0,1,0
160,1779,5,1,1960,211994,0,0,1
161,1929,4,1,1976,252779,1,0,0
162,2056,2,1,1975,288750,0,0,1
163,2071,4,3,1966,185482,1,0,0
164,1502,2,3,1991,119671,0,1,0
165,1406,4,2,1997,148891,0,1,0
166,2597,2,1,1982,235810,1,0,0
167,2751,2,2,2010,357765,0,1,0
168,1804,4,3,1978,216771,1,0,0
169,1098,5,2,2012,102580,1,0,0
170,1683,5,3,1986,208774,0,0,1
171,2895,2,3,2005,302454,0,1,0
172,1725,3,2,1965,208558,0,0,1
173,2570,3,2,2005,276434,0,0,1
174,1960,4,1,1991,220786,0,1,0
175,2762,4,3,1973,354268,0,0,1
176,1612,4,1,2018,142420,0,1,0
177,2966,3,1,1980,299146,0,1,0
178,2485,5,3,1960,321647,0,0,1
179,1642,4,2,1951,216976,0,1,0
180,2792,4,1,2020,243179,0,1,0
181,2028,5,1,1984,184210,0,1,0
182,2241,2,3,2011,175779,0,1,0
183,1502,4,2,2003,162271,0,0,1
184,1766,3,2,2018,240727,1,0,0
185,1397,3,1,2000,186900,0,0,1
186,1870,4,3,1958,208692,1,0,0
187,1794,3,1,1963,114333,1,0,0
188,1392,5,2,2005,225281,1,0,0
189,1206,2,1,1983,110852,0,1,0
190,2038,2,3,1950,206119,1,0,0
191,2881,4,1,1987,292218,0,1,0
192,2577,4,2,1966,209166,0,1,0
193,1891,2,3,1965,283220,0,1,0
194,2484,2,3,1997,354538,0,0,1
195,2714,4,3,1999,290954,1,0,0
196,2598,3,3,2020,207377,0,0,1
197,1863,4,3,1990,267934,0,1,0
198,1742,5,1,1993,235034,0,0,1
199,2264,4,3,1964,246611,0,1,0
200,1563,4,2,2010,314867,0,0,1
201,2020,4,3,1999,278092,0,1,0
202,1095,4,2,2001,88443,0,1,0
203,2923,4,2,2001,235396,0,0,1
204,2757,4,2,1985,280503,0,1,0
205,1484,3,2,1982,273072,1,0,0
206,2430,4,2,1994,252666,0,0,1
207,1230,2,1,1951,133914,0,0,1
208,1748,4,2,1950,142717,0,1,0
209,2678,3,2,2019,266197,0,0,1
210,2194,5,2,1996,245433,1,0,0
211,1540,2,1,2013,177796,0,0,1
212,2059,4,3,1967,226582,1,0,0
213,1524,4,2,2003,170745,0,0,1
214,2183,2,1,1984,194059,1,0,0
215,2862,4,1,2008,347187,0,0,1
216,2722,3,1,1985,345978,1,0,0
217,2266,4,3,1975,323981,0,1,0
218,2109,5,1,1994,185909,0,0,1
219,2819,3,2,2018,231642,0,0,1
220,1577,4,2,1979,181472,1,0,0
221,1681,5,2,1982,247683,0,0,1
222,1556,2,3,1972,174119,1,0,0
223,2597,3,1,1970,249931,0,1,0
224,2976,4,2,2012,352084,1,0,0
225,2012,4,2,2019,356256,0,0,1
226,1645,2,2,2017,115738,0,1,0
227,1795,2,3,1985,265399,1,0,0
228,2051,3,2,1986,205543,1,0,0
229,2643,3,1,1950,248155,0,1,0
230,2579,3,1,1975,318796,0,0,1
231,2363,4,3,1991,254479,0,0,1
232,2821,4,3,1989,248782,0,0,1
233,2981,3,3,2002,320922,0,1,0
234,2354,4,1,2011,265274,1,0,0
235,2663,2,3,1993,283301,0,1,0
236,2529,5,3,1985,291195,1,0,0
237,2371,4,1,1953,240277,0,1,0
238,2496,3,2,1970,316708,1,0,0
239,2254,4,3,1966,267724,1,0,0
240,1189,2,2,1965,52033,0,1,0
241,2248,3,2,1990,157260,0,1,0
242,2408,5,2,2004,349887,0,1,0
243,2400,3,2,2006,302581,1,0,0
244,2306,3,3,2015,267740,0,1,0
245,2981,3,3,1987,296942,1,0,0
246,1632,4,3,2005,211665,1,0,0
247,1627,5,1,1986,240462,0,1,0
248,1972,2,1,1999,221900,0,0,1
249,2768,4,2,2004,337510,0,0,1
250,2282,5,1,1950,351438,1,0,0
251,2382,5,2,2014,207718,1,0,0
252,1709,4,2,2014,187379,0,0,1
253,2479,3,3,1993,325104,1,0,0
254,2434,5,3,1961,234064,0,0,1
255,1648,2,1,2002,168976,1,0,0
256,1317,4,3,2010,72491,1,0,0
257,2700,5,1,1962,397825,0,1,0
258,2248,2,3,1991,224680,0,0,1
259,2842,2,3,1995,297609,1,0,0
260,2257,2,1,1991,211357,0,0,1
261,1683,2,2,1965,191156,0,1,0
262,1663,4,1,1993,198444,0,0,1
263,2998,2,3,2019,227602,1,0,0
264,2850,4,2,1965,227374,0,0,1
265,2397,2,3,1971,311492,0,1,0
266,2695,2,3,1984,341035,0,0,1
267,2631,4,3,1998,329215,0,0,1
268,2495,3,2,2020,189722,0,0,1
269,2256,5,3,2013,315304,0,0,1
270,2715,5,1,1980,229019,1,0,0
271,2136,4,1,1950,218041,0,0,1
272,2853,2,1,1974,256367,0,1,0
273,2520,4,2,1969,427589,0,0,1
