,SquareFeet,Bedrooms,Bathrooms,Neighborhood,YearBuilt,Price,target
0,2126,4,1,Rural,1969,215355.28361820136,224096.1260397619
1,2459,3,2,Rural,1980,195014.22162584803,224096.1260397619
2,1860,2,1,Suburb,1970,306891.0120763329,223234.18985728978
3,2294,2,1,Urban,1996,206786.78715332696,227166.1971394754
4,2130,5,2,Suburb,2001,272436.239065061,223234.18985728978
5,2095,2,3,Suburb,2020,198208.80390657103,223234.18985728978
6,2724,2,1,Suburb,1993,343429.3191099182,223234.18985728978
7,2044,4,3,Rural,1957,184992.321268412,224096.1260397619
8,2638,4,3,Urban,1959,377998.58815204125,227166.1971394754
9,1121,5,2,Urban,2004,95961.92601406392,227166.1971394754
10,1466,5,3,Suburb,1951,191113.7686788604,223234.18985728978
11,2238,3,3,Suburb,1987,253358.64500167352,223234.18985728978
12,1330,2,2,Suburb,1992,132172.3926169813,223234.18985728978
13,2482,4,3,Suburb,1989,231157.02767588635,223234.18985728978
14,1087,4,1,Urban,1976,118393.82316264397,227166.1971394754
15,2396,2,2,Suburb,1993,267377.3996858498,223234.18985728978
16,2123,5,2,Rural,1956,190773.14856300573,224096.1260397619
17,1871,4,2,Suburb,1977,172989.80490101498,223234.18985728978
18,2687,5,1,Urban,1979,239222.6677969504,227166.1971394754
19,1130,4,3,Rural,1962,143050.20178240183,224096.1260397619
20,2685,4,3,Urban,1999,405523.82831733953,227166.1971394754
21,2332,3,3,Rural,1978,263954.1540627713,224096.1260397619
22,1769,4,1,Suburb,1963,148310.62016790514,223234.18985728978
23,1343,2,3,Rural,2013,151733.92248999208,224096.1260397619
24,2515,2,3,Urban,2013,307961.1073823952,227166.1971394754
25,2437,2,1,Rural,2004,276162.86180465267,224096.1260397619
26,1805,5,1,Rural,2002,243985.2054715822,224096.1260397619
27,1385,4,3,Rural,1996,88030.54185271678,224096.1260397619
28,2215,5,1,Urban,1952,282908.98169371625,227166.1971394754
29,1955,3,1,Rural,2014,240976.55176671065,224096.1260397619
30,1276,4,1,Rural,1965,104747.33458904953,224096.1260397619
31,2184,2,2,Suburb,1959,347207.38956128363,223234.18985728978
32,1459,3,2,Rural,2006,77493.9314389322,224096.1260397619
33,2337,3,3,Suburb,2008,331851.0816694101,223234.18985728978
34,1021,4,3,Rural,2013,110408.67080143408,224096.1260397619
35,1252,2,1,Urban,1993,127932.75677961828,227166.1971394754
36,1747,5,3,Rural,1982,228683.2269961876,224096.1260397619
37,1856,4,2,Rural,1959,124711.70785494654,224096.1260397619
38,2584,2,3,Suburb,2001,415850.77083678055,223234.18985728978
39,1474,3,3,Urban,1959,184819.96119001516,227166.1971394754
40,2082,4,2,Suburb,1966,164855.98777549056,223234.18985728978
41,1510,3,2,Suburb,2002,156928.01471681413,223234.18985728978
42,2705,2,1,Urban,1971,282457.8613741379,227166.1971394754
43,2499,5,1,Urban,2021,287591.6728221959,227166.1971394754
44,1699,5,1,Rural,1960,156313.5941951282,224096.1260397619
45,1975,3,3,Suburb,2016,279764.3710402287,223234.18985728978
46,2806,3,3,Suburb,1962,366494.48060208897,223234.18985728978
47,1189,3,3,Urban,2007,244539.2816890332,227166.1971394754
48,1957,4,2,Rural,1994,239299.9944944986,224096.1260397619
49,1686,2,3,Urban,1994,249148.34468610145,227166.1971394754
50,1957,3,2,Rural,1992,304197.5798399542,224096.1260397619
51,1562,3,3,Rural,2013,89378.55062087673,224096.1260397619
52,2899,3,3,Rural,1988,427295.4046033164,224096.1260397619
53,2590,5,2,Suburb,1957,328501.8015463275,223234.18985728978
54,2267,3,2,Urban,1989,215867.4189845816,227166.1971394754
55,1831,2,2,Rural,2000,190058.8928999779,224096.1260397619
56,2528,5,1,Urban,1969,259751.15444635935,227166.1971394754
57,2154,2,1,Rural,2015,166810.3886512713,224096.1260397619
58,2508,5,3,Suburb,2007,352932.1624639027,223234.18985728978
59,2842,5,3,Urban,2014,422042.91851435706,227166.1971394754
60,1646,4,3,Suburb,1994,91423.61964633202,223234.18985728978
61,1020,5,1,Rural,1983,220053.8603574218,224096.1260397619
62,1840,5,3,Suburb,1961,216148.20845399628,223234.18985728978
63,1166,2,2,Suburb,1972,161587.15372788318,223234.18985728978
64,2297,2,2,Urban,2017,194967.9094711132,227166.1971394754
65,1387,3,1,Rural,2002,152828.720291152,224096.1260397619
66,1600,4,2,Rural,2002,256725.9809436184,224096.1260397619
67,1315,5,2,Suburb,1989,98039.30310069738,223234.18985728978
68,1013,4,3,Urban,2002,164858.18694892063,227166.1971394754
69,1241,3,2,Urban,1985,199373.18209909197,227166.1971394754
70,1776,4,2,Urban,2014,181245.4467436535,227166.1971394754
71,2369,5,1,Suburb,1963,209700.7184829428,223234.18985728978
72,1564,2,2,Rural,1983,163053.3920501942,224096.1260397619
73,1897,4,2,Rural,1975,304004.68986597785,224096.1260397619
74,2363,5,3,Urban,2004,308830.9396512381,227166.1971394754
75,1091,3,3,Urban,2012,194294.00184175,227166.1971394754
76,2390,5,3,Urban,2019,172777.3198326151,227166.1971394754
77,1955,4,1,Suburb,1995,197656.07026552537,223234.18985728978
78,2478,5,3,Urban,1986,273365.49912049377,227166.1971394754
